name,window,hidden,lstm_layers,dropout,batch_size,learning_rate,weight_decay,lambda_voltage,loss_function,huber_delta,current_focus_weight,voltage_pca_components,current_pca_components,parameters,best_epoch,epochs_run,initial_val_current_r2_h5,best_val_current_r2_h5,best_val_current_mse_h5,best_val_voltage_r2_h5,best_val_voltage_mse_h5,best_val_total_loss
w60_dropout_010,60,128,1,0.1,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,216912,5,13,0.9272082129530225,0.92775639112835,15.76835956700575,0.5658040051929875,1.184990555821e-05,0.342686785034614
window_60,60,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,216912,5,13,0.9272082129530225,0.92774162997179,15.771581432965887,0.5657444930465121,1.1851529740200928e-05,0.34270546548437364
w60_current_pca_128,60,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,128,237456,3,11,0.9272082129530225,0.9276540459535617,15.790698089972897,0.56101641724649,1.1980566517076823e-05,0.34303449817223125
w60_focus_weight_3,60,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,3.0,16,64,216912,5,13,0.9272082129530225,0.9275949470577811,15.803597399036152,0.5653839006638399,1.1861370885054356e-05,0.3379204273223877
w60_learning_rate_2e4,60,128,1,0.2,32,0.0002,0.0001,0.3,huber,1.0,1.0,16,64,216912,2,10,0.9272082129530225,0.9275819288792304,15.806438831288792,0.5610547737103551,1.1979519707617997e-05,0.3430921792393864
w60_focus_weight_8,60,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,8.0,16,64,216912,3,11,0.9272082129530225,0.9275217030425436,15.819584113797992,0.5603836939501576,1.199783455131871e-05,0.3297767760139881
w60_vweight_070,60,128,1,0.2,32,0.0001,0.0001,0.7,huber,1.0,1.0,16,64,216912,3,11,0.9272082129530225,0.927449159924922,15.83541784609118,0.5602552383893171,1.200134030973793e-05,0.40668656979456985
w60_vweight_100,60,128,1,0.2,32,0.0001,0.0001,1.0,huber,1.0,1.0,16,64,216912,3,11,0.9272082129530225,0.9273728424148875,15.852075401801372,0.560106020972281,1.2005412692534336e-05,0.4544534181604291
hidden_192_focus_3,30,192,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,3.0,16,64,424592,3,11,0.9216437582896494,0.9222774692674748,16.964224658619543,0.5650522331065884,1.187042262499936e-05,0.3530331578585181
window_15,15,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,216912,1,9,0.922113310725383,0.9221422679836507,16.99373456946918,0.5388111940071917,1.2586582697400203e-05,0.3609444965230356
current_pca_128,30,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,128,237456,4,12,0.9216437582896494,0.9220482580608655,17.01425378616525,0.5658512263840151,1.1848616816119524e-05,0.358655572527706
baseline,30,128,1,0.2,32,0.0001,0.0001,1.0,huber,1.0,1.0,16,64,216912,3,11,0.9216437582896494,0.9217428340875162,17.080917607468972,0.5643717414829172,1.1888994333559775e-05,0.47284048028511577
learning_rate_2e4,30,128,1,0.2,32,0.0002,0.0001,0.3,huber,1.0,1.0,16,64,216912,1,9,0.9216437582896494,0.9217218523069339,17.08549722725466,0.5634991822550032,1.1912807875297583e-05,0.3585774603456554
mse_v030,30,128,1,0.2,32,0.0001,0.0001,0.3,mse,1.0,1.0,16,64,216912,2,10,0.9216437582896494,0.9217035665063202,17.089488404931824,0.5633035230993306,1.1918147727677727e-05,2.8199240830865238
mse_current_only,30,128,1,0.2,32,0.0001,0.0001,0.0,mse,1.0,1.0,16,64,216912,2,10,0.9216437582896494,0.9217006966818271,17.090114791476047,0.5632052841611176,1.1920828825969478e-05,2.7182977164145745
vweight_070,30,128,1,0.2,32,0.0001,0.0001,0.7,huber,1.0,1.0,16,64,216912,2,10,0.9216437582896494,0.9216865310714325,17.093206669659818,0.563488184119959,1.1913108032054322e-05,0.42412403255405995
dropout_030_focus_3,30,128,1,0.3,32,0.0001,0.0001,0.3,huber,1.0,3.0,16,64,216912,1,9,0.9216437582896494,0.9216832877426965,17.093914579667405,0.5633000330886014,1.1918242975671794e-05,0.35338008639836077
focus_weight_8,30,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,8.0,16,64,216912,1,9,0.9216437582896494,0.9216819813707324,17.094199716902096,0.5632986462348292,1.1918280825137062e-05,0.34452321948391373
batch_64_focus_3,30,128,1,0.2,64,0.0001,0.0001,0.3,huber,1.0,3.0,16,64,216912,2,10,0.9216437582896494,0.9216803020109787,17.09456626487571,0.5633206233846868,1.1917681033375925e-05,0.35337778365257944
focus_weight_3,30,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,3.0,16,64,216912,1,9,0.9216437582896494,0.9216795327596381,17.094734166672502,0.5632974177862398,1.1918314351470657e-05,0.3533817759834894
vweight_030,30,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,216912,1,9,0.9216437582896494,0.9216761016019861,17.095483073439933,0.5632957064978041,1.1918361055278586e-05,0.3585785872275286
vweight_010,30,128,1,0.2,32,0.0001,0.0001,0.1,huber,1.0,1.0,16,64,216912,1,9,0.9216437582896494,0.9216719203084026,17.09639570975073,0.563290802736327,1.1918494886799553e-05,0.32574617331570915
huber_delta_050,30,128,1,0.2,32,0.0001,0.0001,0.3,huber,0.5,1.0,16,64,216912,1,9,0.9216437582896494,0.9216693320374256,17.096960642594745,0.5632777549500623,1.1918850981827677e-05,0.2292592293850266
current_only,30,128,1,0.2,32,0.0001,0.0001,0.0,huber,1.0,1.0,16,64,216912,1,9,0.9216437582896494,0.9216690727318004,17.09701724032567,0.5632052841611176,1.1920828825969478e-05,0.3093291934173886
learning_rate_5e5,30,128,1,0.2,32,5e-05,0.0001,0.3,huber,1.0,1.0,16,64,216912,2,10,0.9216437582896494,0.9216683751879583,17.097169490777837,0.5633036635109541,1.1918143895619172e-05,0.3585712405124513
huber_delta_200,30,128,1,0.2,32,0.0001,0.0001,0.3,huber,2.0,1.0,16,64,216912,1,9,0.9216437582896494,0.9216652069485741,17.097861011295482,0.5632838402103404,1.1918684905308187e-05,0.5121807441262916
refine_window_45,45,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,64,216912,1,9,0.9216314136609419,0.9216462049079516,17.10200852017167,0.5422508010323895,1.2492710301308509e-05,0.3529416248940005
current_pca_32,30,128,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,1.0,16,32,206640,0,8,0.9216437582896494,0.9216437582896494,17.102542534982323,0.5632052841611176,1.1920828825969478e-05,0.35857648778669904
hidden_64_focus_3,30,64,1,0.2,32,0.0001,0.0001,0.3,huber,1.0,3.0,16,64,82960,0,8,0.9216437582896494,0.9216437582896494,17.102542534982323,0.5632052841611176,1.1920828825969478e-05,0.35337621386688534
layers_2_focus_3,30,128,2,0.2,32,0.0001,0.0001,0.3,huber,1.0,3.0,16,64,349008,0,8,0.9216437582896494,0.9216437582896494,17.102542534982323,0.5632052841611176,1.1920828825969478e-05,0.35337621386688534
